date,material_id,transaction_type,quantity,unit,supplier_id,unit_price,po_number
2023-05-03,M07,receipt,134,kilograms,SUP03,23623,PUR73225
2023-04-17,M07,issue,230,kilograms,,24591,
2023-06-25,M07,receipt,365,kilograms,SUP03,22346,PUR96849
2023-10-21,M11,issue,68,kgs,,24181,
2023-10-12,M10,receipt,430,kg,SUP05,22436,PUR50374
2023-02-25,M07,issue,404,kilograms,,24737,
2023-11-27,M07,issue,56,kg,,22270,
2023-10-25,M14,issue,49,rolls,,21728,
2023-09-30,M11,issue,209,Kg,,24277,
2023-04-16,M10,issue,163,Kg,,22948,
2023-06-05,M13,return,46,nos,,25295,
2023-10-26,M06,writeoff,323,kg,,23423,
2023-05-31,M07,receipt,199,kg,SUP03,25069,PUR10110
2023-07-03,M12,receipt,450,kg,SUP06,22242,PUR40833
2023-07-21,M07,receipt,374,Kg,SUP03,22946,PUR60012
2023-03-30,M07,receipt,81,kgs,SUP03,22149,PUR57223
2023-05-28,M14,issue,9,Rolls,,21175,
2023-03-15,M02,receipt,43,nos,SUP01,22717,PUR21097
2023-08-01,M03,receipt,45,nos,SUP09,23135,PUR91690
2023-08-06,M03,receipt,29,pcs,SUP09,22235,PUR39588
2023-01-04,M03,issue,32,pcs,,24128,
2023-09-14,M12,issue,220,Kg,,24882,
2023-01-18,M09,receipt,300,kg,SUP05,23036,PUR24832
2023-02-10,M10,receipt,383,KG,SUP05,23608,PUR70940
2023-11-09,M09,issue,135,kg,,22992,
2023-02-09,M11,receipt,418,kilograms,SUP05,24130,PUR90352
2023-10-01,M01,return,31,rolls,,22709,
2023-10-21,M09,return,225,Kg,,22502,
2023-03-27,M13,issue,45,rolls,,25327,
2023-10-16,M10,receipt,41,Kg,SUP05,23190,PUR85778
2023-05-30,M03,receipt,2,pcs,SUP09,21834,PUR20814
2023-05-23,M03,receipt,9,roll,SUP09,23182,PUR46073
2023-02-27,M14,issue,12,pcs,,24855,
2023-08-17,M10,receipt,423,Kg,SUP05,21331,PUR40958
2023-09-28,M08,issue,185,kg,,21965,
2023-03-20,M03,receipt,49,nos,SUP09,22351,PUR41188
2023-11-23,M11,issue,117,KG,,24122,
2023-01-28,M12,receipt,396,Kg,SUP06,24443,PUR16884
2023-09-01,M03,receipt,31,roll,SUP01,23716,PUR59781
2023-08-31,M11,receipt,84,Kg,SUP05,23928,PUR11554
2023-08-18,M05,return,44,nos,,23180,
2023-01-22,M09,receipt,479,kg,SUP05,23233,PUR66595
2023-05-20,M10,return,148,Kg,,21706,
2023-10-27,M13,issue,30,nos,,24713,
2023-10-29,M11,receipt,276,KG,SUP05,23138,PUR51060
2023-01-05,M09,issue,16,kg,,22741,
2023-08-17,M02,receipt,15,roll,SUP09,23899,PUR43016
2023-11-14,M04,issue,4,rolls,,24940,
2023-04-22,M10,receipt,336,kilograms,SUP05,21111,PUR21322
2023-07-12,M14,receipt,12,pcs,SUP07,24798,PUR34151
2023-02-08,M05,issue,18,nos,,25038,
2023-06-15,M07,receipt,92,Kg,SUP03,24576,PUR46344
2023-07-18,M13,issue,4,roll,,22604,
2023-08-14,M14,issue,32,rolls,,24931,
2023-04-02,M04,receipt,7,nos,SUP08,21685,PUR38624
2023-08-15,M10,receipt,62,Kg,SUP05,20755,PUR19229
2023-08-17,M10,receipt,469,kg,SUP05,22651,PUR95572
2023-01-20,M11,issue,146,kgs,,22376,
2023-07-20,M12,issue,11,kilograms,,23198,
2023-09-09,M12,return,233,kgs,,22741,
2023-02-05,M14,receipt,15,pcs,SUP07,21141,PUR73185
2023-07-03,M02,receipt,44,roll,SUP09,22169,PUR17234
2023-11-28,M11,writeoff,197,kg,,23945,
2023-02-11,M14,writeoff,49,nos,,24267,
2023-04-01,M05,receipt,3,pcs,SUP02,25849,PUR96603
2023-07-19,M04,issue,41,rolls,,23917,
2023-11-20,M06,receipt,386,kgs,SUP03,22109,PUR14679
2023-10-31,M04,issue,32,Rolls,,22688,
2023-11-26,M02,receipt,32,roll,SUP09,23116,PUR12151
2023-06-22,M01,issue,26,rolls,,21334,
2023-09-25,M04,receipt,44,nos,SUP02,24660,PUR85936
2023-01-19,M04,return,32,Rolls,,23774,
2023-11-13,M01,receipt,16,rolls,SUP01,23722,PUR11882
2023-06-07,M03,receipt,30,rolls,SUP01,23163,PUR87469
2023-02-24,M02,receipt,32,rolls,SUP01,23366,PUR18271
2023-06-22,M13,issue,21,nos,,22041,
2023-03-12,M11,receipt,438,Kg,SUP05,25707,PUR15975
2023-02-02,M10,issue,150,kg,,21191,
2023-07-09,M13,issue,11,pcs,,23343,
2023-01-21,M04,return,7,Rolls,,24336,
2023-07-12,M14,receipt,2,Rolls,SUP07,24730,PUR20580
2023-02-15,M01,issue,19,pcs,,22554,
2023-09-01,M12,receipt,115,KG,SUP06,21673,PUR78562
2023-03-31,M08,issue,364,kilograms,,21774,
2023-09-13,M10,issue,496,kilograms,,20973,
2023-06-04,M11,receipt,224,Kg,SUP05,21774,PUR35153
2023-02-18,M02,writeoff,24,pcs,,24462,
2023-09-17,M13,writeoff,30,Rolls,,24702,
2023-05-22,M11,receipt,109,kg,SUP05,22217,PUR99816
2023-08-31,M14,writeoff,12,nos,,21782,
2023-01-28,M11,return,155,Kg,,22614,
2023-11-12,M07,issue,32,kgs,,21806,
2023-10-03,M12,issue,90,KG,,24304,
2023-03-01,M01,receipt,16,rolls,SUP08,23804,PUR87687
2023-04-12,M10,issue,127,Kg,,23803,
2023-02-20,M02,issue,48,Rolls,,22618,
2023-04-23,M14,issue,31,rolls,,23524,
2023-08-12,M08,issue,120,KG,,25420,
2023-07-18,M10,receipt,79,Kg,SUP05,22487,PUR92840
2023-04-14,M06,writeoff,75,Kg,,21464,
2023-05-24,M12,receipt,66,KG,SUP06,24575,PUR70106
2023-06-25,M07,issue,463,KG,,22587,
2023-11-23,M10,issue,473,kilograms,,21309,
2023-04-28,M10,writeoff,220,kg,,24123,
2023-04-21,M09,receipt,252,kilograms,SUP05,24485,PUR46591
2023-05-07,M01,receipt,21,Rolls,SUP01,22628,PUR87564
2023-01-03,M03,return,3,nos,,20824,
2023-09-16,M08,receipt,227,kg,SUP04,23795,PUR72818
2023-02-20,M13,receipt,32,nos,SUP07,22532,PUR83202
2023-07-28,M13,issue,9,Rolls,,23015,
2023-02-16,M05,issue,31,rolls,,24627,
2023-08-24,M05,issue,48,pcs,,24277,
2023-08-26,M01,writeoff,46,Rolls,,22510,
2023-07-09,M03,receipt,46,nos,SUP01,23254,PUR92222
2023-06-20,M02,issue,3,pcs,,22143,
2023-11-10,M07,receipt,304,kilograms,SUP03,24633,PUR99740
2023-06-21,M02,receipt,33,rolls,SUP09,24801,PUR16758
2023-08-27,M02,issue,3,pcs,,22426,
2023-10-14,M06,issue,297,kg,,24238,
2023-06-21,M13,issue,35,Rolls,,22012,
