order_id,client_id,product_type,box_size,quantity,delivery_date,order_date,material_bom
PO0001,CLI021,large_premium,large,1000,2023-12-31,2023-12-19,"{""M04"": 0.55, ""M05"": 0.38, ""M07"": 0.022, ""M09"": 0.008, ""M10"": 0.008, ""M12"": 0.004, ""M14"": 0.12}"
PO0002,CLI026,small_std,small,400,2023-05-04,2023-04-28,"{""M01"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M08"": 0.015, ""M11"": 0.002, ""M13"": 0.05}"
PO0003,CLI046,medium_printed,medium,800,2023-02-14,2023-02-03,"{""M02"": 0.32, ""M05"": 0.22, ""M06"": 0.014, ""M09"": 0.006, ""M10"": 0.006, ""M11"": 0.003, ""M13"": 0.08}"
PO0004,CLI042,medium_printed,medium,500,2023-05-09,2023-04-19,"{""M02"": 0.32, ""M05"": 0.22, ""M06"": 0.014, ""M09"": 0.006, ""M10"": 0.006, ""M11"": 0.003, ""M13"": 0.08}"
PO0005,CLI016,small_printed,small,200,2023-03-28,2023-03-15,"{""M02"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M09"": 0.003, ""M10"": 0.003, ""M11"": 0.002, ""M13"": 0.05}"
PO0006,CLI028,large_premium,large,800,2023-10-28,2023-10-15,"{""M04"": 0.55, ""M05"": 0.38, ""M07"": 0.022, ""M09"": 0.008, ""M10"": 0.008, ""M12"": 0.004, ""M14"": 0.12}"
PO0007,CLI009,large_std,large,250,2023-08-09,2023-07-24,"{""M01"": 0.55, ""M05"": 0.38, ""M06"": 0.022, ""M08"": 0.04, ""M11"": 0.005, ""M14"": 0.12}"
PO0008,CLI008,large_std,large,100,2023-09-17,2023-09-10,"{""M01"": 0.55, ""M05"": 0.38, ""M06"": 0.022, ""M08"": 0.04, ""M11"": 0.005, ""M14"": 0.12}"
PO0009,CLI028,medium_std,medium,1000,2023-11-28,2023-11-18,"{""M01"": 0.32, ""M05"": 0.22, ""M06"": 0.014, ""M08"": 0.025, ""M11"": 0.003, ""M13"": 0.08}"
PO0010,CLI039,large_std,large,500,2023-02-19,2023-02-02,"{""M01"": 0.55, ""M05"": 0.38, ""M06"": 0.022, ""M08"": 0.04, ""M11"": 0.005, ""M14"": 0.12}"
PO0011,CLI001,small_printed,small,750,2023-10-11,2023-09-28,"{""M02"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M09"": 0.003, ""M10"": 0.003, ""M11"": 0.002, ""M13"": 0.05}"
PO0012,CLI035,large_premium,large,1000,2024-01-13,2024-01-05,"{""M04"": 0.55, ""M05"": 0.38, ""M07"": 0.022, ""M09"": 0.008, ""M10"": 0.008, ""M12"": 0.004, ""M14"": 0.12}"
PO0013,CLI019,medium_printed,medium,150,2023-12-10,2023-11-25,"{""M02"": 0.32, ""M05"": 0.22, ""M06"": 0.014, ""M09"": 0.006, ""M10"": 0.006, ""M11"": 0.003, ""M13"": 0.08}"
PO0014,CLI047,small_printed,small,100,2023-04-10,2023-03-22,"{""M02"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M09"": 0.003, ""M10"": 0.003, ""M11"": 0.002, ""M13"": 0.05}"
PO0015,CLI033,large_premium,large,200,2023-06-05,2023-05-15,"{""M04"": 0.55, ""M05"": 0.38, ""M07"": 0.022, ""M09"": 0.008, ""M10"": 0.008, ""M12"": 0.004, ""M14"": 0.12}"
PO0016,CLI033,small_std,small,1000,2023-12-01,2023-11-17,"{""M01"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M08"": 0.015, ""M11"": 0.002, ""M13"": 0.05}"
PO0017,CLI049,large_std,large,400,2023-04-21,2023-04-12,"{""M01"": 0.55, ""M05"": 0.38, ""M06"": 0.022, ""M08"": 0.04, ""M11"": 0.005, ""M14"": 0.12}"
PO0018,CLI039,medium_std,medium,100,2023-10-25,2023-10-04,"{""M01"": 0.32, ""M05"": 0.22, ""M06"": 0.014, ""M08"": 0.025, ""M11"": 0.003, ""M13"": 0.08}"
PO0019,CLI024,medium_printed,medium,150,2023-09-13,2023-09-08,"{""M02"": 0.32, ""M05"": 0.22, ""M06"": 0.014, ""M09"": 0.006, ""M10"": 0.006, ""M11"": 0.003, ""M13"": 0.08}"
PO0020,CLI037,medium_printed,medium,250,2023-05-09,2023-05-03,"{""M02"": 0.32, ""M05"": 0.22, ""M06"": 0.014, ""M09"": 0.006, ""M10"": 0.006, ""M11"": 0.003, ""M13"": 0.08}"
